編號,詞語,義項,翻譯,TL,POJ,語句編號,語句,音檔,語句翻譯,翻譯TL,翻譯POJ
131,간단하,1700032,簡單,kan-tan,kan-tan,17000321,수술이 간단하고 위험하지도 않아 생각보다 금방 끝났다.,,手術簡單閣袂危險，比我料想的閣較緊就完成矣。,"Tshiú-su̍t kan-tan koh bē guî-hiám, pí guá liāu-sióng--ê koh khah kín tō uân-sîng--ah.","Chhiú-su̍t kan-tan koh bē gûi-hiám, pí góa liāu-sióng--ê koh khah kín tō oân-sêng--ah."
136,간단히,1700033,簡單,kan-tan,kan-tan,17000331,나는 바빠서 친구가 묻는 말에만 간단히 대답하고 전화를 끊었다.,,我咧無閒，朋友的問題我簡單回答了就掛電話矣。,"Guá teh bô-îng, pîng-iú ê būn-tê guá kan-tan huê-tap-liáu  tō kuà tiān-uē--ah.","Góa teh bô-êng, pêng-iú ê būn-tê góa kan-tan hôe-tap-liáu  tō kòa tiān-ōe--ah."
141,간식,1700034,四秀仔,sì-siù-á,sì-siù-á,17000341,식사를 하기 전에 간식으로 단것을 많이 먹으면 식욕이 떨어질 수도 있다.,,食飯進前若食一堆四秀仔，飯會食袂落去。,"Tsia̍h-pn̄g tsìn-tsîng nā tsia̍h tsi̍t tui sì-siù-á, pn̄g ē tsia̍h bē lo̍h--khì.","Chia̍h-pn̄g chìn-chêng nā chia̍h chi̍t tui sì-siù-á, pn̄g ē chia̍h bē lo̍h--khì."
146,간장,1700035,豆油,tāu-iû,tāu-iû,17000351,간장에 찍다,,搵豆油,ùn tāu-iû,ùn tāu-iû
151,간호사,1700036,護理師,hōo-lí-su,hō͘-lí-su,17000361,간호사가 되어서 아픈 사람들을 돌봐 주고 싶어.,,我想欲做護理師照顧病人。,Guá siūnn-beh tsò hōo-lí-su tsiàu-kòo pēnn-lâng.,Góa siūⁿ-beh chò hō͘-lí-su chiàu-kò͘ pēⁿ-lâng.
156,갈비,1700037,排骨,pâi-kut,pâi-kut,17000371,갈비는 손으로 들고 먹어야 제맛이 난다.,,排骨用手拆來食上好食。,Pâi-kut iōng tshiú thiah lâi tsia̍h siōng hó-tsia̍h.,Pâi-kut iōng chhiú thiah lâi chia̍h siōng hó-chia̍h.
161,갈비탕,1700038,排骨湯,pâi-kut-thng,pâi-kut-thng,17000381,갈비탕 한 그릇,,一碗排骨湯,tsi̍t uánn pâi-kut-thng,chi̍t óaⁿ pâi-kut-thng
166,갈색,1700039,咖啡色,ka-pi-sik,ka-pi-sek,17000391,커피를 쏟아 흰 치마가 갈색으로 얼룩이 졌다.,,咖啡捙倒，白色的裙去予染甲變咖啡色。,"Ka-pi tshia-tó, pe̍h-sik ê kûn khì hōo ní kah piàn ka-pi-sik.","Ka-pi chhia-tó, pe̍h-sek ê kûn khì hō͘ ní kah piàn ka-pi-sek."
171,갈아타다,1700040,盤,puânn,pôaⁿ,17000401,나는 버스에서 지하철로 갈아탔다.,,我公車盤捷運。,Guá kong-tshia puânn tsia̍t-ūn.,Góa kong-chhia pôaⁿ chia̍t-ūn.
176,감,1700041,柿仔,khī-á,khī-á,17000411,감이 떫다.,,柿仔會澀。,Khī-á ē siap.,Khī-á ē siap.
181,감기,1700042,感冒,kám-mōo,kám-mō͘,17000421,나는 감기에 걸려 몸에서 열이 나고 자꾸 기침을 했다.,,我感冒矣，發燒閣呿呿嗽。,"Guá kám-mōo--ah, huat-sio koh khuh-khuh-sàu.","Góa kám-mō͘--ah, hoat-sio koh khuh-khuh-sàu."
186,감기약,1700043,感冒藥仔,kám-mōo-io̍h-á,kám-mō͘-io̍h-á,17000431,지수는 기침이 너무 심해서 감기약을 사 먹었다.,,我嗽甲足嚴重，所以就去買感冒藥仔來食。,"Guá sàu kah tsiok giâm-tiōng, sóo-í tō khì bé kám-mōo-io̍h-á lâi tsia̍h.","Góa sàu kah chiok giâm-tiōng, só͘-í tō khì bé kám-mō͘-io̍h-á lâi chia̍h."
191,감다,1700044,瞌,kheh,kheh,17000441,눈을 힘껏 감다,,大力瞌目睭,tuā-la̍t kheh ba̍k-tsiu,tōa-la̍t kheh ba̍k-chiu
191,감다,1700045,洗,sé,sé,17000451,머리를 감다,,洗頭毛,sé thâu-mn̂g,sé thâu-mn̂g
191,감다,1700045,洗,sé,sé,17000452,몸을 감다,,洗身軀/洗浴,sé sin-khu / sé-i̍k,sé sin-khu / sé-e̍k
191,감다,1700045,洗,sé,sé,17000453,미역을 감다,,洗滸苔,sé hóo-thî,sé hó͘-thî
191,감다,1700046,囷,khûn,khûn,17000461,아버지는 줄로 막대기를 감고 있었다.,,阿爸咧用索仔共棍仔囷起來。,A-pah teh iōng soh-á kā kùn-á khûn--khí-lâi.,A-pah teh iōng soh-á kā kùn-á khûn--khí-lâi.
196,감동,1700047,感動,kám-tōng,kám-tōng,17000471,감동을 느끼다,,受著感動,siū-tio̍h kám-tōng,siū-tio̍h kám-tōng
201,감동하다,1700048,感動,kám-tōng,kám-tōng,17000481,친절에 감동하다,,予伊的親切去感動著,hōo i ê tshin-tshiat khì kám-tōng--tio̍h,hō͘ i ê chhin-chhiat khì kám-tōng--tio̍h
206,감사,1700049,感謝,kám-siā,kám-siā,17000491,심심한 감사,,真心的感謝,tsin-sim ê kám-siā,chin-sim ê kám-siā
211,감사드립니다,1700050,說多謝,sueh-to-siā,soeh-to-siā,17000501,항상 저를 보살펴 주신 선생님께 감사의 말씀을 드립니다.,,向四常照顧我的老師**表達**我的**感謝**,Hiòng sù-siông tsiàu-kòo--guá ê lāu-su **piáu-ta̍t** guá ê **kám-siā**.,Hiòng sù-siông chiàu-kò͘--góa ê lāu-su **piáu-ta̍t** góa ê **kám-siā**.
216,감사하다,1700051,感謝,kám-siā,kám-siā,17000511,아버지는 건강한 아들이 태어난 것을 하늘에 감사했다.,,做老爸的感謝天公伯賜予伊一个健康的囝,Tsò lāu-pē--ê kám-siā Thinn-kong-peh sù hōo i tsi̍t ê kiān-khong ê kiánn.,Chò lāu-pē--ê kám-siā Thiⁿ-kong-peh sù hō͘ i chi̍t ê kiān-khong ê kiáⁿ.
221,감사합니다,1700052,多謝,to-siā,to-siā,17000521,이렇게 직접 찾아와 주심을 정말 감사합니다.,,多謝你刁工來看我。,To-siā lí thiau-kang lâi khuànn--guá.,To-siā lí thiau-kang lâi khòaⁿ--góa.
226,감자,1700053,馬鈴薯,má-lîng-tsî,má-lêng-chî,17000531,찐 감자,,炊馬鈴薯,tshue-má-lîng-tsî,chhoe-má-lêng-chî
231,감자탕,1700054,馬鈴薯𤉙湯,má-lîng-tsî kûn-thng,má-lêng-chî kûn-thng,17000541,얼큰한 감자탕,,薟馬鈴薯𤉙湯,hiam má-lîng-tsî kûn-thng,hiam má-lêng-chî kûn-thng
236,갑자기,1700055,雄雄,hiông-hiông,hiông-hiông,17000551,갑자기 더워지다,,雄雄變熱,hiông-hiông piàn-jua̍h,hiông-hiông piàn-joa̍h
241,값,1700056,價數,kè-siàu,kè-siàu,17000561,민준이는 비싼 값에 책을 팔았다.,,民俊共冊賣出一个好價數。,Bîn-tsùn kā tsheh bē-tshut tsi̍t ê hó kè-siàu.,Bîn-chùn kā chheh bē-chhut chi̍t ê hó kè-siàu.
246,강,1700057,河,hô,hô,17000571,다리가 공사 중이라 강을 건너려면 배를 타야 했다.,,橋咧做工程，所以咱過河著愛坐船。,"Kiô leh tsò kang-tîng, sóo-í lán kuè hô tio̍h ài tsē tsûn.","Kiô leh chò kang-têng, só͘-í lán kòe hô tio̍h ài chē chûn."
251,강아지,1700058,狗仔,káu-á,káu-á,17000581,강아지가 꼬리를 치다,,狗仔搖尾溜,Káu-á iô bué-liu,Káu-á iô bóe-liu
256,강의,1700059,課,khò,khò,17000591,수학 선생님은 항상 강의를 10분씩 일찍 끝내신다.,,數學老師攏會提早十分鐘下課。,Sòo-ha̍k lāu-su lóng ē thê-tsá tsa̍p hun-tsing hā-khò.,Sò͘-ha̍k lāu-su lóng ē thê-chá cha̍p hun-cheng hā-khò.
261,강좌,1700060,課,khò,khò,17000601,일본어 강좌에 등록하다,,報名日語課,pò-miâ Ji̍t-gí-khò,pò-miâ Ji̍t-gí-khò
266,갖다,1700061,有,ū,ū,17000611,나는 지금 아까 도서관에서 주운 책을 갖고 있다.,,我有紮拄才圖書館借的冊。,Guá ū tsah tú-tsiah tôo-su-kuán tsioh ê tsheh.,Góa ū chah tú-chiah tô͘-su-koán chioh ê chheh.
271,같다,1700062,仝,kāng,kāng,17000621,나는 여동생과 키가 같다.,,我佮阮小妹仝懸。,Guá kap guán sió-muē kāng kuân.,Góa kap goán sió-mōe kāng koân.
276,같이,1700063,配,phuè,phòe,17000631,커피와 같이 먹다.,,配咖啡食,phuè ka-pi tsia̍h,phòe ka-pi chia̍h
276,같이,1700063,做伙,tsò-hué,chò-hóe,17000632,지금 누구랑 같이 있니?,,你這馬佮啥人做伙？,Lí tsit-má kah siánn-lâng tsò-hué?,Lí chit-má kah siáⁿ-lâng chò-hóe?
276,같이,1700064,親像,tshin-tshiūnn,chhin-chhiūⁿ,17000641,예전에 말씀 드린 것과 같이,,親像我進前講的,tshin-tshiūnn guá tsìn-tsîng kóng--ê,chhin-chhiūⁿ góa chìn-chêng kóng--ê
281,개,1700065,狗仔,káu-á,káu-á,17000651,이웃집 개가 계속 짖어서 나는 어제 잠을 거의 잘 수 없었다.,,昨昏阮厝邊飼的狗仔吠袂煞，害我強欲睏袂落眠。,"Tsa-hng guán tshù-pinn tshī--ê káu-á puī bē-suah, hāi guá kiông-beh khùn bē lo̍h-bîn.","Cha-hng goán chhù-piⁿ chhī--ê káu-á pūi bē-soah, hāi góa kiông-beh khùn bē lo̍h-bîn."
