編號,動詞變化,詞語,語源,義項,詞類,等級,標籤,翻譯,TL,POJ,分類,近義詞,反義詞,相關詞,附註,,
731,여불규칙,공부하다,8656,1700164,,B,,讀冊，讀書,tha̍k-tsheh，tha̍k-su,tha̍k-chheh，tha̍k-su,,,,,,,
736,,공연,,1700165,,I,,公演,kong-ián,kong-ián,,,,,,,
741,,공원,,1700166,,B,,公園,kong-hn̂g,kong-hn̂g,,,,,,,
746,,공중전화,,1700167,,B,,公共電話,kong-kiōng tiān-uē,kong-kiōng tiān-ōe,,,,,,,
751,,공짜,,1700168,,B,,免費,bián-huì,bián-hùi,,,,,,,
756,,공책,,1700169,,B,,簿仔紙,phōo-á-tsuá,phō͘-á-chóa,,,,,,,
761,,공항,,1700170,,B,,機場,ki-tiûnn,ki-tiûⁿ,,,,,,,
766,,공휴일,,1700171,,B,,,,,,,,,,,
771,,과,,1700172,,B,,,,,,,,,,,
776,,과/와,,1700173,,B,,,,,,,,,,,
781,,과거,,1700174,,B,,,,,,,,,,,
786,,과일,,1700175,,B,,果子，水果,kué-tsí，tsuí-kó,kóe-chí，chúi-kó,,,,,,,
791,,과자,,1700176,,B,,四秀仔,sì-siù-á,sì-siù-á,,,,,,,
796,,과학,,1700177,,B,,科學,kho-ha̍k,kho-ha̍k,,,,,,,
801,,관계,,1700178,,B,,關係,kuan-hē,koan-hē,,,,,,,
806,,관광니,,1700179,,B,,,,,,,,,,,
811,여불규칙,관광하다,8656,1700180,,B,,,,,,,,,,,
816,,관심,,1700181,,B,,,,,,,,,,,
821,,광고,,1700182,,B,,廣告,kóng-kò,kóng-kò,,,,,,,
826,,괜찮다,,1700183,,B,,,,,,,,,,,
826,,괜찮다,,1700184,,B,,,,,,,,,,,
831,규칙,괜찮습니다,,1700185,,B,,無要緊,bô iàu-kín,bô iàu-kín,,,,,,,
836,,교과서,,1700186,,B,,課本,khò-pún,khò-pún,,,,,,,
841,,교수,,1700187,,B,,教授,kàu-siū,kàu-siū,,,,,,,
846,,교실,,1700188,,B,,教室,kàu-sik,kàu-sek,,,,,,,
851,,교체,,1700189,,B,,,,,,,,,,,
856,,교통,,1700190,,B,,交通,kau-thong,kau-thong,,,,,,,
861,,교통사고,,1700191,,B,,車禍,tshia-hō,chhia-hō,,,,,,,
866,,교회,,1700192,,B,,教會,kàu-huē,kàu-hōe,,,,,,,
871,,구,,1700193,,B,,九,káu,káu,,,,,,,
871,,구,,1700194,,B,,,,,,,,,,,
876,,구경,,1700195,,B,,參觀,tsham-kuan,chham-koan,,,,,,,
881,여불규칙,구경하다,8656,1700196,,B,,,,,,,,,,,
886,,구두,,1700197,,B,,鞋仔,ê-á,ê-á,,,,,,,
886,,구두,,1700198,,B,,,,,,,,,,,
891,,구름,,1700199,,B,,雲,hûn,hûn,,,,,,,
896,,구십,,1700200,,B,,九十,káu-tsa̍p,káu-cha̍p,,,,,,,
901,,구월,,1700201,,B,,九月,káu-gue̍h,káu-goe̍h,,,,,,,
906,여불규칙,구하다,8656,1700202,,I,,揣,tshuē,chhōe,,,,,,,
911,,국,,1700203,,B,,湯,thng,thng,,,,,,,
916,,국내,,1700204,,B,,國內,kok-lāi,kok-lāi,,,,,,,
921,,국립,,1700205,,I,,國立,kok-li̍p,kok-li̍p,,,,,,,
926,,국수,,1700206,,B,,麵,mī,mī,,,,,,,
931,,국어,,1700207,,B,,韓國語,hân-kok-gí,hân-kok-gí,,,,,,,
936,,국적,,1700208,,B,,國籍,kok-tsi̍k,kok-che̍k,,,,,,,
941,,국제,,1700209,,B,,國際,kok-tsè,kok-chè,,,,,,,
941,,국제,,1700210,,B,,,,,,,,,,,
946,,군인,,1700211,,B,,阿兵哥,a-ping-ko,a-peng-ko,,,,,,,
951,ㅂ불규칙,굽다,,1700212,,B,,烘,hang,hang,,,,,,,
956,,권,,1700213,量,B,,本,pún,pún,,,,,,,
956,,권,,1700214,,B,,,,,,,,,,,
961,,궤도,,1700215,,B,,,,,,,,,,,
966,,귀,,1700216,,B,,耳仔,hīnn-á,hīⁿ-á,,,,,,,
971,ㅂ불규칙,귀엽다,,1700217,,B,,,,,,,,,,,
976,,규칙,,1700218,,B,,,,,,,,,,,
981,,귤,,1700219,,B,,柑仔,kam-á,kam-á,,,,,,,
986,,그,,1700220,,B,,彼,he,he,,,,,,,
991,,그거,,1700221,,B,,,,,,,,,,,
996,,그것,,1700222,,B,,,,,,,,,,,
1001,,그곳,,1700223,,B,,,,,,,,,,,
1006,,그날,,1700224,,B,,,,,,,,,,,
1011,,그냥,,1700225,,B,,,,,,,,,,,
1016,,그동안,,1700226,,B,,,,,,,,,,,
